id,name,ht
102092,Tom Vanhoudt,183.0
101675,Martin Rodriguez,178.0
101594,Carsten Arriens,193.0
103163,Tommy Haas,188.0
102522,Fabio Maggi,175.0
102085,Sasa Hirszon,185.0
103009,Razvan Sabau,185.0
102614,Victor Sendin,175.0
101086,Ronald Agenor,180.0
102887,Ramon Delgado,185.0
102716,Maxime Huard,180.0
102574,Gabriel Trifu,193.0
101515,Donald Johnson,190.0
101543,Jeff Tarango,180.0
101582,Gilbert Schaller,180.0
101063,Jordi Arrese,175.0
101062,Mats Wilander,183.0
101391,Carl Uwe Steeb,180.0
102238,Alberto Berasategui,173.0
101962,Younes El Aynaoui,193.0
102180,Charles Auffray,183.0
101902,Stephane Huet,180.0
102483,David Caballero,180.0
102548,Juan Antonio Marin,175.0
102023,Petr Luxa,190.0
102722,Attila Savolt,183.0
101142,Emilio Sanchez,180.0
101439,Javier Sanchez,178.0
102473,Thomas Schiessling,180.0
102030,Andrew Foster,190.0
102965,Jamie Delgado,178.0
101591,Danny Sapsford,173.0
102652,Christian Vinck,183.0
103305,Daniel Elsner,183.0
102465,Gabriel Silberstein,178.0
103118,Ion Moldovan,188.0
103598,Xavier Malisse,185.0
102520,Olivier Malcor,180.0
103045,Reginald Willems,180.0
102519,Marcio Carlsson,175.0
102585,Sebastian Prieto,180.0
101783,Mark Petchey,183.0
102020,Americo Tupi Venero,175.0
102433,Mose Navarra,180.0
103193,Peter Wessels,196.0
102183,Martijn Bok,170.0
101649,Guillermo Perez Roldan,178.0
101549,Rodolphe Gilbert,183.0
102966,Fredrik Jonsson,193.0
102961,Nicklas Timfjord,180.0
102397,Jose Imaz Ruiz,178.0
102410,David Caldwell,180.0
101224,Kenny Thorne,188.0
102821,Cecil Mamiit,173.0
101865,Albert Chang,183.0
101789,Steve Bryan,178.0
102103,Michael Sell,180.0
102925,Justin Gimelstob,196.0
102259,Jerome Golmard,188.0
101353,Lionel Barthez,180.0
102578,Fredrik Bergh,193.0
102607,Juan Balcells,190.0
103228,Marcos Daniel,180.0
102998,Jan Michael Gambill,190.0
102987,Andre Sa,185.0
101574,Alejandro Aramburu,175.0
101961,Martin Stringari,188.0
101531,Mario Visconti,185.0
102457,Miles Maclagan,180.0
103420,Michal Tabara,175.0
102146,Jordi Burillo,188.0
102506,Quino Munoz,178.0
103206,Sebastien Grosjean,175.0
102703,Hyung Taik Lee,180.0
101893,Patrick Mohr,178.0
101720,Agustin Garizzio,185.0
102845,Carlos Moya,190.0
102381,Werner Eschauer,188.0
101897,Fernando Meligeni,180.0
101926,Andrei Merinov,183.0
101432,Dimitri Poliakov,183.0
102836,Rogier Wassen,190.0
102730,Ivo Heuberger,188.0
102753,Wolfgang Schranz,178.0
101938,Bernardo Mota,178.0
103318,Zeljko Krajan,178.0
102434,Vincent Spadea,183.0
102269,Jeff Salzenstein,185.0
102226,David Witt,190.0
102306,Michael Kohlmann,188.0
102251,Mariano Hood,178.0
101436,George Cosac,190.0
102179,Antony Dupuis,185.0
102617,Kim Tiilikainen,180.0
101532,Francisco Clavet,183.0
103202,Oscar Serrano,173.0
101765,Tomas Anzari,180.0
102562,Jiri Novak,190.0
102957,Vadim Kutsenko,180.0
102405,Mahesh Bhupathi,185.0
101906,Yasufumi Yamamoto,175.0
101997,Marzio Martelli,180.0
103110,Daniele Bracciali,180.0
101725,Gabriel Markus,180.0
102154,Marcos Ondruska,183.0
101420,Vaclav Roubicek,185.0
101826,Alex Lopez Moron,175.0
101462,Francisco Roig,175.0
101577,Jia Ping Xia,165.0
100997,Roger Smith,185.0
102862,Allen Belobrajdic,175.0
102263,Yong Il Yoon,175.0
101701,Bing Pan,185.0
102768,Federico Browne,180.0
102153,German Puentes,173.0
101841,Aleksandar Kitinov,190.0
102811,Dusan Vemic,190.0
101061,Jimmy Arias,175.0
101788,Doug Flach,183.0
102132,Ivan Baron,185.0
102834,Paul Goldstein,178.0
102235,Tommy Ho,183.0
101833,Michael Tebbutt,190.0
102436,Borut Urh,190.0
102905,Stefan Koubek,175.0
102785,Glenn Weiner,188.0
102863,Takao Suzuki,175.0
101703,Guillaume Raoux,180.0
101463,Bernd Karbacher,185.0
102344,Karol Kucera,188.0
102035,Jonas Bjorkman,183.0
